#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
grateful,adj. 고맙게 생각하는, 감사해 하는; 감사함을 표현하는
gratefully,adv. 감사하여
gratefulness,n. 감사
grater,n. 강판에 가는 사람 또는 사물; 음식을 갈수 있는 장치 (치즈 등)
gratification,n. 만족, 성취; 기쁨
gratify,v. 만족시키다, 기쁘게하다
gratifying,adj. 만족시키는; 기쁨을 주는
grating,n. 창살, 쇠창살; adj. 갈아대는; 짜증나게 하는; 삐걱거리는
gratis,adv. 무료로
gratitude,n. 감사
gratuitous,adj. 무료의, 그럴 필요 없는
gratuitous dispensation of medicine,n. 시약
gratuity,n. 사례; 사례금; 퇴직금
gravamen,n. 불평, 요점
grave,n. 산소, 묘; adj. 엄숙한, 엄중한; 진지한; 신중한
grave clothes,수구, 시체에 입히는 옷
grave digger,무덤 파는 인부
gravel,n. 자갈, 요석( 모래와 뒤섞인)
gravel blind,장님에 가까운
graveless,adj. 무덤이 없는
gravelly,adj. 자갈이 많은
gravely,adv. 진지하게; 엄숙하게, 정중하게; 차분하게
graven,adj. 새긴, 마음에 새겨진
graven image,우상
graver,n. 조각사, 조각도
Graves' disease,그레이브즈씨 병
graveside,n. 묘비
gravestone,n. 묘비
graveyard,n. 묘소
graving,n. 새겨넣기, 조각하기
graving dock,마른 독Pgraving dock || gre026A;v026A;014B;d0251;k /-d0252;k
gravitate,v. 인력에 끌리다, 중력으로 끌리다; 중력에 의해 움직이다; 자연스럽게 끌리다, 매혹되다
gravitation,n. 중력, 인력; 경향
gravity,n. 지구중력; 중량; 진지함, 중대함; 엄숙함
gravity free state,n. 무중력상태
gravy,n. 육수; 쉽게 번돈(속어); 부정적으로 얻은 이익(속어)
gravy boat,육수 그릇
gray,n. 회색, 흰색과 검정색의 중간색; v. 회색으로 하다; 회색으로 되다; adj. 회색의; 머리가 희끗희끗한; 어두운 또는 침울한; 지루한, 재미없는; 불확실한, 막연한
Gray Friar,프란체스코회 수사
gray whale,n. 작은 고래
graybeard,n. 수염이 희끗희끗한 사람
graying hair,회어지는 머리카락
grayish,adj. 회색을 띤, 잿빛의
grayish blue,n. 회청색
grayling,n. 사루기
graze,n. 스치기; 긁힘; v. 가볍게 스치다; 긁히다; 생풀을 먹이다; 목장의 가축을 지키다
grazer,n. 목축업자
grazier,n. 목축업자
grazing,n. 목초, 방목, 목초지
GRE,대학원 입학 시험, 미국의 대학원 지원자들을 위한 표준화된 시험
grease,n. 지방, 동물에서 추출한 녹인 지방; 지방 성분이 있는 것; 윤활유; v. 기름을 바르다; 윤활유를 치다; 부드럽게 작동하게 하다; 뇌물을 주다(속어)
grease box,윤활유통
grease monkey,수리공
grease someone's palm,...에게 뇌물을 주다
grease the palm,뇌물을 주다
grease the wheels,일을 원활히 진행되게 하다
greased,adj. 기름기가 있는, 기름때문에 미끈미끈한
greasepaint,n. 화장용 기름
greaseproof,adj. 기름이 배지 않는
greaser,n. 기름치는 사람, 기름치는 기구
greasiness,n. 미끈미끈함, 번들거림
greasing,n. 기름치는 것
greasy,adj. 기름 바른; 기름같은; 기름투성이의; 번질번질한, 알랑거리는
greasy spoon,불결한 싸구려 식당
great,adj. 커다란; 중요한; 많은; 거대한; 엄청난; 멋진
great achievement,n. 공명
great artist,n. 화성
Great Bear,큰곰자리
Great Britain,대 브리튼 섬; 영국과 북아일랜드가 있는 섬; 서유럽에서 떨어진 영국 스코트랜드 그리고 웨일즈가 있는 섬
great emperor,n. 대제
great fire,n. 런던 대화재
great foundation,n. 대본
great grandchild,증손
great granddaughter,증손녀
great grandfather,증조부
great grandmother,증조모
great grandson,증손
great hearted,고결한, 용감한
great king,n. 대왕
great man,n. 큰사람
great merchant,n. 신상
great merit,n. 대공
great person,n. 일대
great poet,시성
great strategy,n. 대략
great success,대성공
great undertaking,n. 위업
great war,대전
greatcoat,n. 두꺼운 천으로 만든 큰 외투
greatly,adv. 대단히, 굉장히
greatly respected,매우 존경하는
greatness,n. 위대함; 거대함; 우수함; 영광; 찬란함
greaves,n. 기름 찌끼
grebe,n. 농병아리
Grecian,n. 그리스 사람; adj. 그리스의, 그리스풍의
Greece,n. 그리스, 유럽의 동남쪽에 있는 나라
greed,n. 욕심, 탐욕, 끝없는 욕망, 이기적임
greedily,adv. 욕심내어, 이기적으로, 열망하여
greediness,n. 탐욕
greedy,adj. 대식하는, 탐욕스러운, 탐식하는, 이기적인
greedy about,...에 대하여 대식하는, 탐욕스러운
greedy for,...을 갈망하다
greedy of,...에 탐이 많은, ...에 욕심이 많은
Greek,n. 그리스말; n. 그리스 사람; adj. 그리스의, 그리스풍의
Greek salad,그리스식 샐러드, 페타 치즈와 야채 그리고 올리브유를 사용해서 만드는 샐러드
green,n. 녹색; 마을의 녹색지대; 잔디밭; 퍼팅그린(골프); adj. 녹색의; 푸른 잎에 뒤덮힌; 요리되지않은, 설은; 덜성숙한; 덜익은; 초보자의, 경험이 없는; 원기왕성한
green baize,초록색 베이즈
green blind,녹색 색맹의
green blindness,녹색 색맹
green cheese,익지 않은 치이즈
green cloth,n. 테이블보로 쓰는 녹색 천, 도박대
green color,n. 채색
green eyed,푸른 눈의
green fodder,꼴
green food,n. 채소 식료품
green goods,위조 지폐
green gram,n. 녹두
green hills,n. 청구
green jade with red spots,n. 비옥
green linnet,방울새
green manure,녹비
green mountains,n. 청산
green peak,초록빛 딱다구리
green wine,새 술
green with envy,몹시 부러워해서
green wood,n. 녹림
greenback,n. 그린백
Greenbacks,n. 돈
greenbelt,n. 녹지대
greener,n. 무경험 직공
greenery,n. 푸른 잎; 온실
greenfinch,n. 푸른 방울새
greenfly,n. 진딧물
greengage,n. 서양자두의 우량 품종
greengrocer,n. 청과물 상인
greengrocery,n. 챗소 장사, 청과물
greenhorn,n. 미숙한 사람, 풋내기, 초대, 연골, 애송이, 날짜
greenhouse,n. 온실
greening,n. 푸른 사과의 일종
greenish,adj. 초록빛이 도는
Greenland,n. 북미 북동의 섬
greenness,n. 초록색
greenpeace,n. 환경보호단체
greenroom,n. 배우 휴게실
greens,n. 식물, 푸른 잎, 푸성귀
greensickness,n. 위황병
Greensleeves,n. 그린슬리브즈, 16세기에 영국에서 지어졌다고 여겨지는 노래( 다양한 가사와 다양한 변형되어 존재하고 있슴)
Greenspan,n. 앨런 그린스팬(1926년 태생), 미국의 경제학자; 성
greenstone,n. 녹암
greenstuff,n. 청과류
greensward,n. 잔디밭
Greenwich,n. 그린위치, 본초 자외선이 통과하는 런던 교외 템즈강 가의 자치구
Greenwich Village,그린위치 빌리지, 예술로 유명한 뉴욕의 도시
greenwood,n. 푸른잎이 우거진 숲
greeny,adj. 녹색을 띤
greet,v. ...를 환영하다; 인사하다
greeting,n. 환영; 우편이나 인편을 통해 전하는 안부
greetings,n. 인사, 인사말
gregarious,adj. 군거하는, 군생하는; 사교적인
gregariousness,n. 군집성(동물의); 외향성, 사교성
gregory powder,그레고리 완하제
gremlin,n. 기계에 고장을 일으킨다는 눈에 보이지 않는 작은 요정
grenade,n. 수류탄
grenade gun,소화탄
grenadier,n. 척탄병, 콩새
grenadine,n. 일종의 명주로 짠 엷은 천, 석류 시럽, 양훙, 송아지나 칠면조 고기의 스튜우 요리
grey,n. 회색, 검정과 흰색의 혼합색; v. 회색으로 하다; 회색으로 변하다; adj. 회색의; 회색머리가 있는; 어두침침한; 지루한; 불분명한
grey eyed,회색빛인 눈
Grey Friar,프란체스코회 수사
grey goose,회색 거위
grey haired,회색 리카락인
grey headed,머리가 센
grey hen,회색 닭
grey matter,회백질
greybeard,n. 수염이 희끗희끗한 사람
greycoat,n. 회색외투
greyhound,n. 그레이하운드, 키가 크고 날렵한 몸을 가진 개의 종류
greying,adj. 머리가 히끗히끗하게 되는, 회색으로 되는
greying hair,회어지는 머리카락
greyish,adj. 회색이 또는, 쥐색이 또는
greyish brown,회색이 또는 검색, 쥐색이 또는 검색
greylag,n. 기러기
grid,n. 격자, 바둑판 모양; 그리드, 축전지 안에 격자 모양의 금속판; 고압 송전 시스템,넓은 지역에 전기를 공급하는 전력회사의 시스템; 직각을 이루는 교차선 체계(기준으로 사용되는); 미식축구 경기장(스포츠)
grid circuit,그릿 회로
grid leak,그릿리이크
griddle,n. 철판
griddle cake,핫케이크
gride,n. 맞갈리는 소리, 삐걱삐걱 소리; v. 삐걱삐걱깎다, 삐걱삐걱 갈다
gridiron,n. 석쇠, 창살 모양의 것, 미식 축구 경기장, 미국 국기
grief,n. 깊은 슬픔, 고통, 비통
grievance,n. 불만; 불평; 부당함; 그릇됨
grieve,v. 슬픔에 잠기게 하다; 몹시 슬퍼하다
grieving,adj. 몹시 슬퍼하는, 한탄하는
grievous,adj. 괴롭게 하는, 한탄하게 하는; 슬픈
grievously,adv. 슬프도록
griffin,n. 그리핀, 귀띔
griffon,n. 그리폰, 엄중한 감시인
grig,n. 귀뚜라미, 남자 이름
grill,n. 석쇠, 고기를 구울수 있도록 철망이 얹어진 장치; 불고기, 그릴에서 구운 고기; 그릴에서 구워진 음식을 제공하는 식당; v. 석쇠에 굽다, 석쇠에서 구워지다; 힐문하다, 끊임없이 질문하다
grillage,n. 격자틀
grille,n. 격자, 격자창
grilled,adj. 석쇠에 구운, 석쇠에서 구워진; 질문 받는, 힐문당하는
grilse,n. 연어새끼
grim,adj. 엄한; 무서운, 가혹한; 무정한, 가차없는, 잔인한; 오싹하게 하는
grimace,n. 얼굴을 찌푸림, 얼굴을 찡그리기; v. 얼굴을 찌푸다, 찌푸린 얼굴을 하다
grimalkin,n. 고양이
grime,n. 때, 오점
Grimm,n. 그림, 야콥 그림(1785-1863), 그의 남자 동생 빌헤름(1786-1859), 독일의 언어 문헌 학자이며 민속학자( 
grimy,adj. 때로 더럽혀진, 검댕으로 더럽혀진
grin,n. 싱글싱글 웃음, 방글방글 웃음; 히죽히죽 웃음, 이빨을 드러내고 웃는 웃음; v. 방글방글 웃다, 싱글싱글 웃다; 이를 드러내고 웃다, 히죽거리다
grin and bear it,억지로 웃으며 참다
grinch,n. 시무룩한 사람, 토라진 사람, 뾰로통한 사람
grind,n. 갈기; 고되고 단조로운 일; 가는 소리; v. 빻다, 작은 입자로 부수다; 가루를 내다; 거칠게 문지르다; 연마하다; 연마하는 소리를 내다; 압박하다; 크랭크를 돌려 작동시키다; 부지런히 일하다, 열심히 공부하다
grinder,n. 가는 사람 또는 것; 어금니; 도구를 뾰족하게 하는 기구; 음식 분쇄기
grindery,n. 연장을 가는 곳, 구두 만드는 기구
grinding,n. 갈기, 빻기; 연마; 북북 문지름; 압박; 크랭크를 돌려 작동시킴; 열심히 일하기 또는 열심히 공부하기; adj. 빻는, 가는
grinding pain,n. 무두질
grindstone,n. 그라인더, 회전 연마기; 맷돌
gringo,n. 외국인, 미국인
grip,n. 꽉 잡음, 단단히 쥐기; 붙잡기; 이해; 지배, 제어; v. 꽉 붙잡다, 잡다; 쥐다; 흥미를 끌다
grip of a bow,n. 한통
gripe,n. 쥐기, 복통, 불유쾌, 보트 매어두는 밧줄, 무대에서 일하는 사용인; v. 복통으로 괴롭히다, 쥐다, 흠을 잡다
griping,adj. 강하게 마음을 사로 잡는, 주의를 끄는, 흥미를 끄는
gripping,adj. 사로잡는, 흥미를 끄는, 단단히 잡는
gripsack,n. 손가방
grisaille,n. 회색만으로 엷게 부각되어 보이게 그리는 장식 화법
Grisham,n. 존 그리샴(1955년 태생), 미국의 소설가, 
grisly,adj. 소름 끼치게 하는, 불쾌한, 음산한
grist,n. 제분용 곡물
gristle,n. 연골
gristly,adj. 연골질의
gristly meat,n. 연골질의 고기
gristmill,n. 방앗간
grit,n. 작고 거친 입자 (모래 같은); 용기; 인내; v. 이를 악물다; 뿌드득 갈다; 갈다
grit one's teeth,이를 갈다
gritless,adj. 모래알이 없는, 용기 없는
grits,n. 거칠게 탄 옥수수
gritting,n. 마찰하는 것
gritty,adj. 모래같은; 입자로 된; 용기있는
grizzle,n. 회색; v. 불평을 말하다, 회색이 되다, 보채다
grizzled,adj. 회색빛을 띤
grizzly,adj. 회색을 띤; n. 북미산 큰 갈색 곰
groan,n. 신음 소리, 끙끙거리는 소리; 한숨; 고통이나 기쁨의 낮은 신음소리; v. 신음하다, 신음소리를 내다, 끙끙거리다; 한숨쉬다
groan and groan,v. 낑낑거리다
groan down,...를 막다
groaning,adj. 끙끙거리기, 신음소리를 내기; 한숨쉬기
groat,n. 그로트, 영국의 옛날 사펜스 은화
groats,n. 거칠게 탄 귀리, 거칠게 탄 밀
grocer,n. 식료품 잡화 상인, 잡화상
groceries,n. 식료 잡화류
grocery,n. 식료 잡화점
grog,n. 물을 탄 화주, 대포
grog blossom,주독이 올라 코에 생기는 빨간 점
groggily,adv. 비틀거리며; 휘청거리게, 흔들거리게
grogginess,n. 비틀거림
groggy,adj. 비틀거리는, 술 취한, 흔들흔들하는
grogshop,n. 하급의 술집
groin,n. 샅, 궁릉
groom,n. 신랑; 마부; v. 손질하다, 주의해서 다루다; 단정하게 하다; 말을 빗질하다; 준비하다
groomer,n. 마부, 말을 돌보는 사람; 기계적으로 말을 돌보는 장치
groomsman,n. 신랑의 들러리
groove,n. 홈; 관례, 틀에 박힌 행동; v. ...에 홈을 파다, ...에 홈을 내다
groover,n. 상사
groovy,adj. 근사한, 끝내주는(속어); 틀에 박힌; interj. (속어) 좋아, 훌륭해!( 동의할 때 지르는 감탄사)
grope,v. 손으로 더듬다, 찾다, 모색하다, 더듬다
groping,n. 손으로 더듬어 찾기
gropingly,adv. 더듬어서
grosbeak,n. 콩새의 일종
gross,adj. 커다란, 엄청난; 저속한, 천한, 거친, 조악한; 역겨운; 뚱뚱한; adj. 총계의, 합계의; 대부분의; 공제 없이
gross income,총수입
gross ton,영국톤
grossly,adv. 혐오스럽게; 거칠게
grotesque,adj. 이상한, 별난; 괴기한, 그로테스크풍의; 흉한
grotesquely,adv. 기괴하게, 괴상하게
grotto,n. 자그마한 동굴
grouch,n. 시무룩함, 뽀루퉁함; 불평; 토라짐; v. 투덜거리다, 불평하다, 뽀루퉁해지다
grouchiness,n. 지르퉁함
grouchy,adj. 성격이 나쁜; 짜증내는
ground,n. 흙; 땅; 바닥; 운동장; 기초; v. 기초를 두다; 설립하다, 세우다; 기초를 가르치다, 기본을 가르치다; 접지 시키다 ( 전기를); adj. 빻은, 갈은; 연마한; 작게 부순
ground bait,n. 밑밥
ground burnt off for cultivation,n. 화전
ground cherry,n. 꽈리
ground cloth,n. 무대를 덮는 캔버스 천
ground color,기색
ground control,지상 관제
ground crew,지상정비원
ground floor,일층, 가장 유리한 입장, 가장 유리한 관계
ground game,엽수
ground glass,젖빛유리, 그라운드 글라스
ground ice,물 밑 어름
ground in,자선의 뒤에
ground making,n. 기초 공사
ground metal,n. 지금
ground price,n. 생산 원가
ground rent,땅세, 지세
ground sill,토대
ground spider,n. 땅거미
ground squirrel,얼룩다람쥐
ground swell,큰 파도
ground troops,지상부대
ground up water soaked rice,n. 무리
grounded,adj. 기초를 둔; 세운, 설립한; 접지한 ( 전기를)
grounder,n. 땅볼
grounding,n. 좌초, 바탕, 바탕빛, 기초 교수, 기초 지식, 접지, 소양
groundless,adj. 기초없는; 근거 없는
groundless rumor,n. 헛소문
groundlessly,adv. 기초없이, 지원없이; 이유나 원인 없이
groundlessness,n. 근거없슴; 토대없슴
groundling,n. 포복식물
groundman,n. 구장 관리인
groundnut,n. 땅콩
grounds,n. 찌꺼기 ( 커피가루의); 이유, 근거; 땅, 토양
groundsel,n. 개쑥갓
groundsman,n. 운동장의 관리인
groundwater,n. 지하수
groundwork,n. 기초, 바탕
group,n. 그룹, 집단, 군, 군상, 분파, 비행 연대, 기, 유, 패거리, 반, 패; v. 무리로 만들다; 소집하다; 분류하다, 종류로 나누다
group captain,비행대장
group marriage,n. 합동결혼
group of fifty,n. 거리
group of people,n. 축
group of thieves,n. 적도
group raid,n. 서리
grouped,adj. 소집된, 모여진; 그룹으로 나눠진; 분리된
grouper,n. 참바리속의 식용 물고기, 양볼락과의 여러가지
grouping,n. 그룹으로 나누기, 그룹으로 모으기
grouse,n. 뇌조 무리, 불평, 멧닭; v. 투덜대다
grout,n. 그라우트, 거칠게 빻은 밀
grove,n. 작은 숲
grovel,v. 기다; 엎드리다; 설설기다; 비굴하게 굴다
groveling,adj. 비굴한, 미천한
grovelingly,adv. 설설기는, 비굴하게 기는
groveller,n. 설설기는 사람, 노예같은 사람; 비굴한 사람, 자신을 미천하게 하는 사람
grovelling,adj. 비굴한, 미천한
grow,v. 성장하다; 경작하다; ...으로 변하다;...이되다
grow bad,v. 구기다
grow bare,발가버어지다
grow big,v. 크다, 커지다
grow dark,어두워지다
grow deaf,죽어지다
grow early,v. 조달하다
grow lazy,게이르게 되다
grow old,낡아지다; 늙어지다
grow pale,부끄러워지다
grow poor,돈을 많이 쓰다
grow quiet,조용해지다
grow rich,부자가 되다
grow sad,슬퍼지다
grow strong,힘 세어지다
grow stronger,힘 센 사람이 되다
grow stupid,어리석어지다
grow thick,v. 우거지다
grow thin,뚱뚱해지다
grow up,자라다, 성인이 되다
grow very lazy,v. 게이르게 되다
grow warm,v. 격하다
grow warmer,따뜻해지다
grow white,하야지다
grow wild,야생하다, 자생하다
grow wiser,똑똑해지다
grower,n. 재배자; 식물
growing,n. 성장, 자람; adj. 성장하는, 커가는
growing old together in wedded life,n. 해로
growl,n. 으르렁거리는 소리; 투덜거리는 소리; v. 으르렁거리다, 으르렁거리며 말하다; 투덜거리다
growler,n. 으르렁거리는 사람, 으르렁거리는 것, 으르렁거리는 동물
growling,adj. 불평하는, 투덜거리는; 으르렁거리는
grown,adj. 장성한, 성장한; 뒤덮힌; 특정한 곳 또는 방법으로 길러진
grown up,n. 성숙한
grown up person,n. 어른
grownup,n. 성인, 성숙한 사람; adj. 성장한, 익은, 성인의
grows,v. 증대하다, 커지다; 경작하다, 키우다; 바뀌다; ~이 되다
growth,n. 성장, 성숙; 비정상적인 조직의 증대, 암
groyne,n. 방사제, 작은 제방
grub,n. 애벌레, 음식; v. 파다, ...에게 음식을 주다, 땅을 파헤치다, 음식을 먹다
grub ax,곡괭이
grub street,그러브가, 삼류 문인들
grubber,n. 나무 그루터기, 부지런히 일하는 사람, 수전노
grubbiness,n. 구더기가 들끓는 것
grubby,adj. 구더기가 들끓는
grudge,n. 악의, 한, 유감; v. 주기 싫어하다; 시기하다, 질투하다; 원한을 품다
grudging,adj. 내키지 않는, 마지못해 하는; 인색한, 시기하는
grudgingly,adv. 마지못해서
gruel,n. 오트밀
grueling,adj. 기진 맥진하게 하는; 고군분투하는; 어려운, 힘든
gruelling,adj. 기진 맥진하게 하는
gruesome,adj. 으스스한, 무서운, 오싹해지는
gruesomely,adv. 끔찍스럽게, 무섭게, 무시무시하게
gruff,adj. 거친, 우락부락한; 목소리가 쉰
gruffly,adv. 거칠게, 투박하게, 무뚝뚝하게, 우락부락하게
gruffness,n. 무뚝뚝함, 거침; 무례함
grumble,n. 투덜거림; 으르렁거림; v. 투덜대다, 불평스럽게 말하다; 중얼대다
grumbler,n. 불평가
grumbling,n. 낮은 소리로 투덜대기; 중얼거리기; adj. 투덜대는, 불평하는
grumbly,adj. 투덜대며; 중얼거리며
grume,n. 엉긴 덩어리
grummet,n. 덧테쇠
grumpily,adv. 심술나게, 투덜대며, 짜증내며
grumpiness,n. 불평함; 성냄; 무뚝뚝함; 짜증냄
grumpy,adj. 투덜거리는, 불평하는; 화를 내는; 짜증내는
Grundyism,n. 인습에 얽매이기
grunge,n. 쓰레기, 저속, 불량; 허무주의적 가사를 노래하는 락음악의 한 성향; 락가수들의 패션 스타일
grunt,n. 투덜투덜 거림, 꿀꿀거림; 불평함; 보병(속어); v. 툴툴거리다, 으르렁거리며 말하다; 투덜투덜 불평하다
grunting,adj. 꿀꿀거리는, 투덜투덜 거리는
grunting ox,꿀꿀거리는 황소
guacamole,n. 구아카몰, 으깬 아보카도와 다른 재료를 섞어 만든 음식( 멕시코 요리법)
Guam,n. 괌, 서태평양에 있는 섬(미국령)
guana,n. 큰도마뱀
guano,n. 구아노
guarantee,n. 보장; 보증; 담보; 보험; v. 보증하다; 보장하다; 약속하다, 확언하다
guaranteed,adj. 보증된; 약속된, 확언하는
guarantor,n. 보증인, 담보인, 인수인
guaranty,n. 보장; 보증; 담보; 보험; v. 보증하다;보장하다; 약속하다, 확언하다
guard,n. 망보기; 수위, 보초; 보호; 경계; 조심, 신중; v. 망보다, 경계하다
guard against,...를 예방하다, 주의시키다
guard boat,순찰정
guard duty,보초 근무, 호위 근무
guard of honor,의장병
guard of honour,의장병
guard oneself,남에게 경계시키다
guarded,adj. 방어되어 있는, 보호된; 감시되어 있는; 주의하는
guardedly,adv. 방어되어 있게, 감시되어 있게
guardhouse,n. 위병소, 영창
guardian,n. 보호자; 감시인; 수호자
guardian angel,수호의 천사
guardianship,n. 후견, 후견직; 보호, 안내
guarding,n. 망보는 것
guardrail,n. 난간
guardroom,n. 위병소
guardsman,n. 위병
Guatemala,n. 과테말라
Guatemalan,n. 과테말라 사람; adj. 과테말라 사람의
guava,n. 번석류
gubernatorial,adj. 지사의
gubernatorial mansion,n. 지사관사
gudgeon,n. 모샘치, 오스트레일리아산의 구굴무치, 잘 속는 사람
guelder rose,불두화Pvguelder rose || 'geld0259;(r)r0259;028A;z
guerdon,n. 포상
guerilla,n. 비정규병; adj. 게릴라의, 비정규군의
Guernsey,n. 영국 해협에 있는 작은 섬, 거언지종의 젖소
guerrilla,n. 비정규병; adj. 비정규병의
guess,n. 추측; 가상; 가설; v. 추측하다; 가정하다
guess right,알아맞히다
guess rope,보우트를 잡아매는 밧줄
guesswork,n. 짐작, 방법적 조사보다 추측에 근거하여 조사를 진행하는 것
guest,n. 손님, 숙박인, 기생 동물, 기생 식물, 손
guest card,초대 카드
guest chamber,손님, 숙박인, 기생 동물, 기생 식물
guest house,게스트 하우스, 여관
guest room,손님용의 침실P0gestr028A;m
guestbook,n. 방문자들의 이름과 그들의 개인 정보를 간단하게 적을 수 있는 책; 방문자들이 그들의 이름과 주소 그리고 의견을 간단히 적을 수 있는 인터넷 웹사이트의 특별한 페이지
guestimate,v. 추측 평가하다, 고정사실이나 숫치에 근거를 두지 않고 생각으로 평가하다
guestimation,n. 고정사실이나 논리에 근거하지 않고 평가냄, 추측평가(속어)
guff,n. 시시한 이야기
guffaw,n. 갑작스러운 너터웃음; v. 너터웃음을 웃다
guggle,n. 꼴꼴하는 소리; v. 졸졸 흐르다, 목구멍에서 나는 소리로 말하다
Guiana,n. 기아나, 남아메리카의 북동지역에 있는 열대 지역
guidance,n. 안내; 지도; 인도
guide,n. 지도자; 안내자; 수행자; 입문서, 지도원리, 안내서; v. 지도하다; 가르치다; 교도하다, 이끌다
guide rope,유도삭, 가이
guidebook,n. 여행안내, 여행안내서
guided,adj. 안내를 받은; 지도를 받은
guided missile,유도탄
guideline,n. 지침, 지도 기준
guidepost,n. 도표
guiding,adj. 지도하기; 이끌기
guiding principle,지도원리
guidon,n. 삼각기
guild,n. 동업 조합, 동업 단체, 일반적으로 동업 조합
guild master,길드 조합원
guilder,n. 길더, 네덜란드의 통화(100센트에 해당하는); 유럽에서 사용되었던 수많은 동전
guildhall,n. 길드의 집회장, 길드의 회의소, 시청사, 시의회 의사당
guile,n. 교활
guileful,adj. 사기의, 속임수의; 교활한
guileless,adj. 순진한, 단순한, 복잡하지 않은; 진실된, 정직한
guillemot,n. 바다오리
guillotine,n. 절단기, 단두대 (프랑스 혁명시 많이 사용된); v. 목을 단두대로 자르다
guilt,n. 범죄, 죄를 저지른 상태; 유죄; 죄의식
guiltily,adv. 가책적으로
guiltiness,n. 유죄, 죄를 범하는 것
guiltless,adj. 죄가 없는, 무죄의
guilty,adj. 유죄의, 벌받을 만한
Guinea,n. 기니아, 아프리카의 서쪽 대서양을 끼고 있는 나라; n. 기니아, 대영제국에서 사용되었던 옛 금화
guinea fowl,뿔닭Pwguinea fowl || g026A;n026A;fa028A;l
guinea hen,뿔닭의 암컷
guinea pig,n. 기니피그, 실험재료
guinea squash,기니호박
guinea worm,기니아 벌레
Guinness,n. 알렉 기네스 경(1914-2000), 아카데미 상을 수상한 영국의 배우; 아일랜드산의 흑맥주의 일종
guise,n. 외관
guitar,n. 기타
guitarist,n. 기타 연주가
gulch,n. 협곡
gulden,n. 길더, 네덜란드의 옛 금화, 네덜란드의 옛 은화, 독일의 옛 금화, 독일의 옛 은화, 오스트리아의 옛 금화, 오스트리아의 옛 은화
gules,adj. 붉은 색의; n. 붉은 색
gulf,n. 만; 심연, 틈
gull,n. 갈매기; 속기 쉬운 사람; v. 속이다
gullet,n. 식도, 수로
gullibility,n. 속기 쉬움
gullible,adj. 속기 쉬운
gullibly,adv. 순진하게, 속기 쉽게
gully,n. 우열
gulp,n. 쭉마시기, 쭉꿀꺽꿀꺽마시기; v. 꿀꺽꿀꺽마시다, 들이켜다; 숨을 죽이다; 억누르다, 삼키다
gulp down,v. 삼키다
gum,n. 수지; 고무; 껌; 풀로 이용되는 끈적끈적한 물질; 잇몸; v. ...에 고무질을 바르다, ...에 고무를 바르다, ...에 고무질을 먹이다, ...에 고무를 먹이다, 고무질을 분비하다, 고무질을 형성하다
gum arabic,고무풀, 아라비아고무, 아라비아 고무
gum tree,고무 나무
gum up,망치다
Gumba,n. 검바, 닷맛이 있는 빨간 고추의 일종
gumbo,n. 오크라아욱, 검보, 찰흙
gumboots,n. 고무 장화
gumdrop,n. 검드롭,캔디의 일종, 말랑말랑한 캔디
gummy,adj. 고무의, 고무성의
gumption,n. 적극성, 그림 물감 조합법
gumshoe,n. 고무로 만든 오버슈즈
gun,n. 총; 라이플 소총; 피스톨 권총; 대포; 청부 살인업자(속어); v. 권총을 쏘다; 갑자기 가속하다, 극적으로 속도를 가하다
gun barrel,열
gun carriage,포차, 포가
gun crew,총승무원 전원
gun for,총으로 ...을 사냥하다
gun layer,조준수, 총을 놓는 사람
gun platform,n. 포상
gun room,총기실
gun shy,총소리에 쉽게 놀라는
gun stock,총대
gunbarrel,n. 포신, 총신
gunboat,n. 포함
guncotton,n. 면 화약
gunfight,n. 총싸움
gunfire,n. 포화
gunman,n. 총기 휴대자, 총을 다루는데 익숙한 사람; 저격수, 사격수; 총을 만드는 사람
gunned,adj. 총이 장착된
gunnel,n. 뱃전, 베도라치
gunner,n. 총기 휴대자, 총을 다루는데 익숙한 사람; 저격수, 사격수; 총을 만드는 사람
gunnery,n. 포술
gunning,n. 총렵
gunny,n. 굵은 삼베
gunny sack,n. 마대
gunpowder,n. 화약
gunrunner,n. 총포화약의 밀수입자
gunrunning,n. 총포화약의 밀수입
gunship,n. 총이 장착된 헬리콥터 또는 비행기
gunshot,n. 발사, 사격; 사정거리; 발사된 탄알
gunshot wound,n. 착탄 거리의 바람
gunsmith,n. 총포 대장장이, 소형 총을 만들거나 수리하는 사람
gunwale,n. 현연, 현
gup,n. 허튼 이야기
gurgitation,n. 큰 물결같이 오르내림
gurgle,n. 콸콸 물흐르는 소리, 졸졸 물흐르는 소리; v. 졸졸 흐르다; 골골 소리를 내다, 물흐르는 소리를 내다
gurnard,n. 성대
gurnet,n. 성대
guru,n. 힌두교의 교도사, 길고 낙낙한 의복
gush,n. 분출, 쏟아져 나옴; v. 세차게 흘러나오다, 분출하다; 감정적으로 자신을 표현하다
gush forth,v. 흘러나오다
